id,circ,inq
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,1200
9,0,47
10,0,0
11,0,150
12,620,20
13,729,4
14,854,0
15,995,0
16,1100,75
17,1120,35
18,1326,0
19,1516,20
20,1552,62
21,1619,0
22,2140,15
23,2261,0
24,2380,650
25,2564,304
26,2610,8
27,2662,10
28,2778,59
29,2811,10
30,2851,35
31,3157,295
32,3280,35
33,3399,0
34,3405,0
35,3442,8
36,3555,89
37,3565,0
38,3595,15
39,3624,167
40,3874,150
41,3965,0
42,4080,600
43,4408,40
44,4730,30
45,4786,215
46,4867,105
47,5121,0
48,5176,0
49,5331,0
50,5413,0
51,5488,0
52,5585,100
53,6092,278
54,6093,0
55,6103,700
56,6123,45
57,6147,175
58,6152,750
59,6220,390
60,6245,50
61,6522,39
62,6547,0
63,6601,400
64,6670,20
65,7497,30
66,7544,96
67,7762,125
68,7770,833
69,7883,375
70,8001,0
71,8014,512
72,8135,22
73,8170,64
74,8342,320
75,8369,0
76,8382,500
77,8447,2080
78,8487,300
79,8683,780
80,8703,378
81,8823,145
82,9175,2201
83,9180,800
84,9571,600
85,9832,593
86,10200,150
87,10212,262
88,10235,100
89,10268,17
90,10319,644
91,10550,118
92,10732,2202
93,10828,230
94,11593,820
95,11604,35
96,11930,25
97,11970,762
98,11999,0
99,12430,900
100,12445,3337
101,12475,0
102,12660,0
103,12898,153
104,13337,313
105,13357,500
106,13367,105
107,13372,850
108,13697,175
109,13976,205
110,14134,1500
111,14413,620
112,14724,100
113,14736,0
114,15010,675
115,15927,450
116,15940,2170
117,16052,61
118,16226,225
119,16244,2763
120,16403,920
121,16455,3306
122,16572,1500
123,16724,677
124,16988,2140
125,17352,820
126,17439,476
127,17675,1024
128,17679,597
129,17679,597
130,17873,217
131,17953,508
132,18187,0
133,18347,1327
134,18523,4651
135,18623,2685
136,18632,52
137,18662,800
138,18911,900
139,19101,540
140,19253,596
141,19271,620
142,19377,2489
143,19537,3779
144,19539,0
145,19837,74
146,19992,720
147,20091,0
148,20146,3000
149,20218,1683
150,20247,0
151,20372,2400
152,20466,150
153,20954,1060
154,21031,260
155,21281,650
156,21842,0
157,21872,1238
158,22079,365
159,22167,518
160,22221,1585
161,22227,600
162,22339,4473
163,22670,1600
164,22997,1096
165,23118,68
166,23154,715
167,23313,700
168,23334,1413
169,23406,878
170,23568,1169
171,23629,180
172,23975,1205
173,24021,600
174,24438,3856
175,24705,2779
176,24787,634
177,25420,4882
178,25725,1608
179,25929,3000
180,26384,1142
181,26500,360
182,26966,1500
183,27008,2900
184,27099,523
185,27771,2000
186,27837,736
187,28220,2330
188,28332,782
189,28439,730
190,28487,2500
191,29475,156
192,29850,900
193,30401,1186
194,30684,12845
195,30946,7234
196,31147,0
197,31234,480
198,31739,1298
199,31782,4000
200,31821,500
201,32646,800
202,32721,2050
203,33606,960
204,33674,840
205,34045,931
206,34735,2674
207,35261,1500
208,35409,2593
209,35506,6000
210,35562,1560
211,36038,300
212,36216,6500
213,36537,2392
214,37311,3657
215,37363,169
216,37536,1621
217,37651,208
218,37794,892
219,37818,2500
220,37975,400
221,38294,1298
222,38456,3100
223,38695,4648
224,39193,1530
225,39454,5500
226,40188,2000
227,40500,10500
228,41682,3838
229,42093,3234
230,42191,0
231,42245,3393
232,42458,2000
233,42909,0
234,45817,2307
235,46240,1405
236,46388,8434
237,47215,3500
238,47506,5000
239,48092,450
240,49481,2500
241,49825,747
242,51409,4820
243,51685,1580
244,53162,320
245,53167,4155
246,53617,3000
247,54182,2301
248,54501,10840
249,54661,2320
250,55729,3820
251,56359,2059
252,57873,13272
253,60509,4276
254,61230,2611
255,61791,2100
256,61794,11560
257,61994,6800
258,62104,4069
259,62210,7100
260,62472,4032
261,62954,2168
262,63955,20000
263,64500,6429
264,65327,1500
265,67107,10400
266,67154,1025
267,67731,6570
268,70842,5475
269,71562,125
270,73259,7509
271,74655,17364
272,76270,2400
273,76965,2253
274,77556,4962
275,80159,10000
276,81348,4050
277,82942,6250
278,83166,5616
279,84178,4674
280,85999,2258
281,86827,0
282,89386,3400
283,91145,0
284,93815,5051
285,94038,2372
286,95365,3325
287,96601,1350
288,97219,0
289,101450,7300
290,102544,3034
291,102872,6126
292,104251,1960
293,105777,4836
294,105855,5600
295,106208,9107
296,106554,18049
297,107934,0
298,108447,4415
299,108798,7580
300,110453,0
301,110864,6121
302,111885,12200
303,114405,2986
304,119034,20988
305,121190,7765
306,121861,7852
307,130075,1621
308,130610,15734
309,130774,0
310,131300,6878
311,135179,7396
312,140258,5803
313,140546,7746
314,143199,1476
315,146862,9599
316,147466,3518
317,158523,21301
318,160486,17200
319,164611,13373
320,165933,13123
321,168659,6147
322,169735,3439
323,169762,31549
324,170827,0
325,171390,26500
326,173288,4377
327,188885,12500
328,195842,29300
329,198416,16217
330,203392,12220
331,204014,12000
332,215898,10125
333,222827,7643
334,232575,13227
335,232587,69311
336,241767,51315
337,242080,37752
338,242996,43378
339,265253,19205
340,302935,46815
341,330055,21124
342,344474,63649
343,345537,61538
344,352199,38287
345,364311,30803
346,375553,22467
347,387759,35126
348,416226,56070
349,442884,99539
350,476485,58225
351,505161,28219
352,515076,170000
353,528089,32572
354,561367,31490
355,593863,97795
356,646895,114406
357,674163,40994
358,688324,184291
359,733851,32544
360,816240,257054
361,826417,44256
362,827833,277121
363,853171,288737
364,1185983,218610
365,1705078,682201
366,2271227,262141
367,3136876,272711
368,4081187,2710130
369,6384212,3278281
