ID,circ,inq,stratum,SelectionProb,SamplingWeight,FPC
9,0,0,1,0.135501355,7.38,369
14,854,0,1,0.135501355,7.38,369
16,1100,75,1,0.135501355,7.38,369
21,1619,0,1,0.135501355,7.38,369
39,3624,167,1,0.135501355,7.38,369
61,6522,39,1,0.135501355,7.38,369
75,8369,0,1,0.135501355,7.38,369
76,8382,500,1,0.135501355,7.38,369
81,8823,145,1,0.135501355,7.38,369
86,10200,150,1,0.135501355,7.38,369
88,10235,100,1,0.135501355,7.38,369
90,10319,644,1,0.135501355,7.38,369
108,13697,175,1,0.135501355,7.38,369
118,16226,225,1,0.135501355,7.38,369
124,16988,2140,1,0.135501355,7.38,369
128,17679,597,1,0.135501355,7.38,369
130,17873,217,1,0.135501355,7.38,369
152,20466,150,1,0.135501355,7.38,369
154,21031,260,1,0.135501355,7.38,369
163,22670,1600,1,0.135501355,7.38,369
176,24787,634,1,0.135501355,7.38,369
178,25725,1608,1,0.135501355,7.38,369
185,27771,2000,1,0.135501355,7.38,369
186,27837,736,1,0.135501355,7.38,369
198,31739,1298,1,0.135501355,7.38,369
202,32721,2050,1,0.135501355,7.38,369
224,39193,1530,1,0.135501355,7.38,369
227,40500,10500,1,0.135501355,7.38,369
231,42245,3393,1,0.135501355,7.38,369
238,47506,5000,1,0.135501355,7.38,369
246,53617,3000,1,0.135501355,7.38,369
262,63955,20000,1,0.135501355,7.38,369
264,65327,1500,1,0.135501355,7.38,369
267,67731,6570,1,0.135501355,7.38,369
272,76270,2400,1,0.135501355,7.38,369
278,83166,5616,1,0.135501355,7.38,369
289,101450,7300,1,0.135501355,7.38,369
297,107934,0,1,0.135501355,7.38,369
298,108447,4415,1,0.135501355,7.38,369
306,121861,7852,2,0.135501355,7.38,369
308,130610,15734,2,0.135501355,7.38,369
312,140258,5803,2,0.135501355,7.38,369
321,168659,6147,2,0.135501355,7.38,369
328,195842,29300,2,0.135501355,7.38,369
335,232587,69311,2,0.135501355,7.38,369
345,364311,30803,2,0.135501355,7.38,369
347,387759,35126,2,0.135501355,7.38,369
348,416226,56070,2,0.135501355,7.38,369
352,515076,170000,3,0.135501355,7.38,369
369,6384212,3278281,5,0.135501355,7.38,369
